CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade SUS por Município e Ano/mês compet.
Leitos complementares: UTI adulto II COVID-19
Período:2020-2022
"Município";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev"
"314810 PATROCINIO";-;-;14;14;14;9;-;-;-;4;4;18;28;28;28;28;28;28;28;28;28;28;28
"314860 PECANHA";-;-;-;-;-;-;-;-;-;-;-;6;10;10;10;10;10;10;10;10;10;10;10
"315120 PIRAPORA";-;-;-;5;5;5;5;-;-;-;-;1;11;11;16;16;16;16;16;11;11;11;11
"315170 POCO FUNDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10
"315180 POCOS DE CALDAS";-;-;28;28;28;28;12;12;20;20;26;28;38;50;50;50;50;50;50;50;50;50;50
"315210 PONTE NOVA";-;-;-;16;16;16;-;-;5;5;21;29;35;35;35;35;35;35;35;35;35;35;35
"315220 PORTEIRINHA";-;-;-;-;5;5;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5
"315250 POUSO ALEGRE";-;-;18;18;18;-;15;10;10;10;-;20;20;20;20;20;20;20;20;20;20;20;20
"315460 RIBEIRAO DAS NEVES";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"315580 RIO POMBA";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"315700 SALINAS";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;-
"315780 SANTA LUZIA";-;-;-;-;-;10;10;10;10;10;10;16;16;16;16;16;16;16;16;16;16;16;16
"315960 SANTA RITA DO SAPUCAI";-;-;-;6;6;6;6;6;6;6;6;10;10;10;10;10;10;10;10;10;10;10;10
"316070 SANTOS DUMONT";-;-;-;-;10;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10
"316210 SAO GOTARDO";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"316250 SAO JOAO DEL REI";-;-;-;20;20;20;20;15;-;23;40;42;42;42;50;50;50;50;50;50;50;50;50
"316370 SAO LOURENCO";-;-;-;12;12;12;12;-;6;6;14;20;22;25;25;25;25;25;25;25;25;25;25
"316470 SAO SEBASTIAO DO PARAISO";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"316720 SETE LAGOAS";-;-;-;11;11;11;-;-;-;-;-;-;-;-;-;-;30;30;30;20;20;20;20
"316800 TAIOBEIRAS";-;-;-;8;8;8;8;8;8;8;-;8;8;10;15;15;15;15;15;15;15;10;10
"316860 TEOFILO OTONI";-;-;-;17;17;17;17;23;33;33;33;37;37;37;37;37;41;41;41;41;31;31;31
"316930 TRES CORACOES";-;-;10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20
"316940 TRES PONTAS";-;-;-;5;5;5;5;5;5;5;5;10;10;10;15;14;14;14;10;10;10;10;10
"316970 TURMALINA";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"316990 UBA";-;-;10;10;20;20;10;10;10;10;20;20;20;30;30;30;30;30;40;40;40;40;40
"317010 UBERABA";-;-;20;20;20;20;20;-;-;-;25;25;50;50;50;50;50;50;50;50;50;50;50
"317020 UBERLANDIA";-;20;20;48;48;48;28;28;36;36;56;124;132;132;132;122;122;122;122;112;112;30;30
"317040 UNAI";-;-;-;-;10;10;10;-;5;5;5;10;15;15;15;15;15;15;15;15;15;15;15
"317070 VARGINHA";-;-;8;8;8;-;8;7;7;7;10;10;10;10;20;20;20;20;20;20;20;20;20
"317120 VESPASIANO";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"317130 VICOSA";-;-;-;10;21;15;5;-;-;-;-;10;10;17;17;17;17;17;17;17;17;17;10
"317200 VISCONDE DO RIO BRANCO";-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;2;2;2;2;2;2;-;-
"320060 ARACRUZ";-;20;20;20;-;-;-;-;10;10;10;-;-;-;-;14;14;14;14;-;-;-;-
"320120 CACHOEIRO DE ITAPEMIRIM";10;10;10;13;13;23;10;10;20;20;40;30;73;73;73;73;73;73;73;40;40;40;40
"320130 CARIACICA";-;-;-;9;9;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320150 COLATINA";-;39;39;39;39;10;10;10;10;22;49;59;59;70;70;70;59;70;70;14;11;11;11
"320230 GUACUI";-;-;-;8;8;8;8;8;8;8;8;8;20;22;22;22;22;22;22;10;10;10;10
"320280 ITAPEMIRIM";-;-;-;20;20;20;-;-;20;20;20;-;20;30;30;30;30;30;30;10;10;10;10
"320320 LINHARES";-;8;8;28;28;20;20;8;20;20;20;28;28;70;70;70;70;70;70;70;70;70;70
"320460 SANTA TERESA";-;10;10;10;10;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10
"320480 SAO JOSE DO CALCADO";-;-;-;-;-;-;-;-;-;-;-;11;-;28;28;28;28;28;28;28;-;-;-
"320490 SAO MATEUS";8;8;8;40;40;40;-;-;10;10;18;8;28;28;28;28;28;28;28;12;10;10;10
"320500 SERRA";70;70;70;244;244;244;210;190;193;143;217;239;260;276;276;276;276;276;276;146;130;130;130
"320520 VILA VELHA";-;-;-;95;95;95;40;40;65;65;99;122;163;173;203;203;203;203;203;59;59;59;59
"320530 VITORIA";-;-;-;15;15;15;15;15;20;20;15;25;84;84;84;84;84;84;84;14;10;10;10
"330010 ANGRA DOS REIS";-;-;-;-;-;-;-;-;-;-;-;-;25;25;25;25;25;25;25;25;25;25;25
"330020 ARARUAMA";-;-;6;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"330040 BARRA MANSA";-;-;-;-;-;-;-;-;-;7;7;-;-;-;-;-;-;10;10;10;10;10;10
"330045 BELFORD ROXO";-;-;-;-;-;-;-;-;-;-;21;21;21;21;21;21;21;21;21;21;21;21;21
"330060 BOM JESUS DO ITABAPOANA";-;-;12;22;22;22;-;-;22;22;22;40;40;55;55;55;60;60;60;60;60;60;60
"330093 CARAPEBUS";-;-;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"330100 CAMPOS DOS GOYTACAZES";-;-;-;12;12;18;6;6;16;16;16;6;35;55;55;65;65;65;65;65;65;65;65
"330140 CONCEICAO DE MACABU";-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10
"330150 CORDEIRO";-;-;-;-;-;-;-;-;10;10;10;-;-;-;10;10;10;10;10;10;10;10;10
"330170 DUQUE DE CAXIAS";-;106;106;106;-;-;-;-;106;106;106;106;106;106;106;106;106;106;106;106;106;106;106
"330185 GUAPIMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"330190 ITABORAI";-;13;13;13;-;-;-;-;-;-;-;-;-;17;25;25;25;25;25;25;25;25;25
"330200 ITAGUAI";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;-;-
"330210 ITAOCARA";-;7;7;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"330220 ITAPERUNA";-;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"330240 MACAE";-;-;-;-;30;30;30;22;-;-;-;22;22;41;41;41;41;33;33;33;33;33;33
"330250 MAGE";-;-;15;15;15;-;-;-;15;15;15;-;-;-;-;-;-;-;-;-;-;-;-
"330270 MARICA";-;10;10;10;-;-;-;-;5;25;25;40;40;40;40;40;40;40;40;40;40;30;30
"330290 MIGUEL PEREIRA";-;-;-;-;-;-;-;-;10;10;10;-;-;10;10;10;10;10;10;10;10;10;10
"330300 MIRACEMA";-;-;6;6;-;-;-;-;6;6;6;-;10;10;10;-;-;6;6;6;6;6;6
"330330 NITEROI";10;23;28;28;15;-;10;10;-;-;-;10;10;23;28;28;28;28;28;28;28;-;-
"330340 NOVA FRIBURGO";-;10;10;10;-;-;-;-;-;-;-;10;10;10;10;20;20;20;20;20;20;20;20
"330350 NOVA IGUACU";-;-;20;20;20;-;-;-;-;-;-;-;-;-;60;60;60;60;60;60;60;-;-
"330370 PARAIBA DO SUL";-;-;-;-;-;-;-;-;-;-;8;8;8;8;8;8;8;8;8;8;8;8;8
"330390 PETROPOLIS";-;78;78;71;-;-;-;-;59;59;59;45;58;58;58;45;55;55;55;55;25;15;15
"330415 QUISSAMA";-;5;5;5;-;-;-;-;5;5;5;5;10;10;10;10;10;10;10;10;10;10;10
"330430 RIO BONITO";-;10;10;10;-;-;-;-;10;10;10;-;-;-;-;-;-;-;-;10;10;10;10
"330455 RIO DE JANEIRO";-;145;241;241;103;-;-;19;355;343;356;157;171;661;688;668;668;668;668;639;639;562;562
"330480 SAO FIDELIS";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"330490 SAO GONCALO";-;10;10;10;10;10;-;17;17;17;17;17;24;35;70;70;70;70;70;70;70;54;54
"330510 SAO JOAO DE MERITI";-;-;38;38;38;-;-;-;-;-;30;30;30;30;30;30;30;30;30;30;30;30;30
"330530 SAO SEBASTIAO DO ALTO";-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5
"330540 SAPUCAIA";-;-;-;-;5;5;5;-;-;5;5;5;5;5;5;5;5;5;5;5;5;5;5
"330550 SAQUAREMA";-;-;6;6;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"330580 TERESOPOLIS";-;-;14;21;21;15;15;7;8;8;8;41;41;41;41;41;41;31;31;31;31;13;13
"330600 TRES RIOS";-;8;8;8;-;-;-;-;8;8;8;10;10;10;10;10;10;10;10;10;10;10;10
"330610 VALENCA";-;10;10;10;10;10;-;-;-;-;10;-;-;10;10;10;10;10;10;10;10;10;10
"330620 VASSOURAS";-;-;-;-;50;50;50;19;-;-;40;40;40;50;50;50;50;50;50;50;50;50;50
"330630 VOLTA REDONDA";30;49;49;49;30;-;-;30;-;-;-;140;140;140;140;180;180;180;180;180;180;20;20
"350010 ADAMANTINA";-;-;-;-;-;-;-;-;-;-;5;5;9;9;9;9;9;9;9;9;9;9;9
"350160 AMERICANA";-;-;10;10;10;-;-;-;-;-;10;10;10;10;10;20;20;20;20;20;10;10;10
"350170 AMERICO BRASILIENSE";-;-;-;-;-;-;-;-;-;-;-;-;20;20;20;20;20;10;10;10;10;-;-
"350190 AMPARO";-;-;-;-;11;11;11;11;11;11;9;9;9;9;20;20;20;20;20;20;20;20;20
"350210 ANDRADINA";-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"350250 APARECIDA";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;-;-
"350280 ARACATUBA";-;-;-;-;19;19;19;14;20;20;6;25;35;35;35;35;35;35;35;20;20;20;20
"350320 ARARAQUARA";-;10;10;10;-;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-
"350330 ARARAS";-;-;-;-;5;5;5;5;5;5;10;25;25;25;25;25;25;25;25;25;25;20;20
"350380 ARTUR NOGUEIRA";-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;-;-;-;-
"350390 ARUJA";-;-;-;10;10;10;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10
"350400 ASSIS";-;-;-;-;-;-;10;10;10;-;16;16;20;20;20;30;30;30;30;20;20;10;10
"350450 AVARE";-;-;-;-;-;-;-;10;10;10;10;14;14;14;15;15;15;15;15;15;10;10;10
"350550 BARRETOS";-;36;36;52;52;16;16;13;13;13;36;36;52;52;52;52;52;52;52;16;16;-;-
"350570 BARUERI";-;-;-;-;-;48;48;48;-;20;-;-;52;52;52;52;52;52;52;42;22;22;22
"350580 BASTOS";-;-;-;-;-;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"350590 BATATAIS";-;-;-;-;-;7;7;-;-;-;-;-;7;9;9;9;9;9;9;9;-;-;-
"350600 BAURU";-;9;9;9;9;36;36;36;36;36;36;36;36;36;36;46;46;46;46;40;10;-;-
"350635 BERTIOGA";-;10;10;10;10;-;-;-;-;5;5;-;5;5;10;10;10;10;10;5;5;5;5
"350650 BIRIGUI";-;-;-;-;-;-;-;10;10;10;10;-;-;10;10;10;10;10;10;10;10;10;10
"350750 BOTUCATU";-;30;30;30;30;-;-;24;24;-;30;40;40;40;40;40;40;40;40;32;32;32;32
"350760 BRAGANCA PAULISTA";-;20;20;20;20;13;13;13;16;16;16;40;33;42;42;42;42;42;42;10;10;10;10
"350850 CACAPAVA";-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5
"350900 CAIEIRAS";-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-
"350940 CAJURU";-;-;-;-;-;-;-;-;-;-;-;6;6;6;9;9;9;9;9;9;9;8;8
"350950 CAMPINAS";108;139;154;147;47;35;35;35;25;15;46;123;117;145;185;197;206;176;176;130;65;61;61
"350960 CAMPO LIMPO PAULISTA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;-;-;-;-
"351020 CAPAO BONITO";-;-;-;-;5;5;5;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10
"351040 CAPIVARI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;7;7;7;7;7;7
"351050 CARAGUATATUBA";-;-;-;17;17;17;10;17;17;17;27;69;60;60;60;60;60;40;40;35;35;29;29
"351060 CARAPICUIBA";-;-;-;-;-;-;-;-;-;-;-;-;20;20;20;20;20;10;-;-;-;-;-
"351080 CASA BRANCA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;20;20;20
"351110 CATANDUVA";-;-;-;20;20;20;15;7;13;13;26;7;35;35;35;35;35;35;35;35;10;10;10
"351200 COLINA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;-;-
"351280 COSMOPOLIS";-;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5
"351300 COTIA";-;10;10;20;20;20;-;-;-;-;10;10;30;30;30;30;30;20;20;20;20;20;20
"351340 CRUZEIRO";-;-;-;-;-;-;-;10;10;10;-;10;26;26;26;26;26;26;26;26;26;10;10
"351350 CUBATAO";-;-;-;10;20;20;10;-;10;10;10;10;10;10;10;10;10;10;10;10;5;5;5
"351380 DIADEMA";-;20;20;20;20;-;-;-;15;15;15;20;50;50;50;50;50;50;40;30;30;10;10
"351440 DRACENA";-;-;-;-;-;-;-;-;10;10;10;10;20;20;20;20;20;20;20;20;20;10;10
"351500 EMBU DAS ARTES";-;5;5;5;5;-;-;5;5;5;-;5;10;10;10;10;10;10;10;10;10;10;10
"351518 ESPIRITO SANTO DO PINHAL";-;-;-;-;10;10;10;5;5;5;-;10;10;10;10;10;10;10;10;10;10;-;-
"351550 FERNANDOPOLIS";-;-;-;6;6;10;10;10;10;10;10;10;14;14;14;10;10;10;10;10;10;-;-
"351570 FERRAZ DE VASCONCELOS";-;-;-;-;-;-;-;-;-;-;16;26;26;26;26;26;26;10;-;-;-;-;-
"351620 FRANCA";-;-;-;-;27;27;27;20;14;14;-;30;37;52;52;68;68;53;53;27;20;13;13
"351630 FRANCISCO MORATO";-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;-;-
"351640 FRANCO DA ROCHA";-;-;-;-;-;-;-;-;-;-;-;-;37;47;47;47;47;37;10;10;10;10;10
"351670 GARCA";-;-;-;-;-;-;-;-;-;-;-;6;10;10;10;10;10;10;10;10;5;5;5
"351740 GUAIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;-;-
"351840 GUARATINGUETA";-;-;-;-;-;-;-;25;25;25;15;25;25;25;25;25;25;20;20;20;20;10;10
"351870 GUARUJA";-;10;10;10;10;-;10;10;-;-;7;7;20;20;20;20;30;30;20;20;20;10;10
"351880 GUARULHOS";-;66;66;83;80;70;30;18;43;43;52;52;77;99;99;99;99;79;42;42;42;9;9
"351907 HORTOLANDIA";-;10;10;10;-;-;-;-;-;-;-;7;7;7;7;7;7;7;7;7;7;-;-
"351960 IBITINGA";-;-;-;-;-;-;5;5;5;-;-;5;5;5;5;5;5;5;5;5;5;5;5
"352010 IGARAPAVA";-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;-;-;-
"352040 ILHABELA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;6;6;6;6;6;6;6;6;6
"352044 ILHA SOLTEIRA";-;-;-;-;-;-;-;-;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"352050 INDAIATUBA";-;-;-;-;-;-;-;10;20;20;20;10;20;20;20;20;20;20;20;10;10;10;10
"352130 IPUA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;-;15;15;15;10;10;-;-
"352210 ITANHAEM";-;-;-;-;20;20;20;-;-;-;8;8;20;20;20;20;20;20;20;20;8;-;-
"352220 ITAPECERICA DA SERRA";-;9;9;9;-;-;-;-;-;-;-;-;10;10;10;10;10;10;-;-;-;-;-
"352230 ITAPETININGA";-;-;-;-;-;5;9;9;9;5;4;9;9;9;9;9;9;9;9;9;9;9;9
"352240 ITAPEVA";-;-;-;-;-;-;-;-;5;5;-;5;5;5;5;15;15;15;15;15;15;15;15
"352250 ITAPEVI";-;15;15;15;15;-;-;-;10;10;10;5;20;20;20;20;20;20;-;-;-;-;-
"352260 ITAPIRA";-;-;-;-;-;15;15;15;7;7;-;15;15;15;15;16;16;10;10;10;10;10;10
"352270 ITAPOLIS";-;-;-;-;-;5;5;5;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5
"352310 ITAQUAQUECETUBA";10;22;22;22;22;22;-;-;-;-;-;-;20;20;20;20;20;20;20;20;20;-;-
"352340 ITATIBA";-;-;-;-;-;-;-;-;-;-;10;25;22;22;22;22;22;22;22;9;9;9;9
"352390 ITU";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"352400 ITUPEVA";-;-;-;-;-;9;9;-;-;-;6;6;6;10;10;10;10;10;10;10;-;-;-
"352410 ITUVERAVA";-;-;-;-;-;-;-;-;-;-;-;10;15;15;15;15;15;15;15;15;10;10;10
"352430 JABOTICABAL";-;-;-;-;10;10;10;10;10;10;10;10;10;13;13;13;13;13;13;5;5;-;-
"352440 JACAREI";-;-;-;-;-;4;4;4;10;10;10;10;16;16;16;16;16;16;16;16;16;16;16
"352450 JACI";-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;-;-;-;-;-
"352470 JAGUARIUNA";-;-;-;-;-;-;-;-;-;-;6;15;15;15;15;15;25;25;25;25;25;25;25
"352480 JALES";-;-;-;-;-;9;9;9;9;9;10;10;10;10;10;10;10;10;10;10;7;7;7
"352530 JAU";-;-;10;10;10;10;10;10;10;10;10;10;37;37;37;37;37;37;37;37;37;10;10
"352590 JUNDIAI";-;46;46;46;69;69;69;5;5;5;5;34;72;51;51;51;72;30;30;29;10;10;10
"352640 LARANJAL PAULISTA";-;-;-;-;-;-;10;10;10;10;15;15;15;15;15;15;15;15;15;15;15;15;15
"352670 LEME";-;-;-;-;5;10;10;10;-;-;-;10;18;18;18;18;18;18;18;10;10;-;-
"352680 LENCOIS PAULISTA";-;-;-;-;10;10;10;-;-;-;-;6;6;15;15;15;15;8;8;8;8;8;8
"352690 LIMEIRA";-;-;-;-;14;14;14;21;21;21;21;21;30;43;43;43;52;34;34;34;34;10;10
"352710 LINS";-;-;-;-;-;5;5;5;-;-;-;-;-;5;15;15;15;15;15;15;15;4;4
"352720 LORENA";-;-;-;-;-;-;-;-;-;-;18;18;18;18;18;18;18;18;18;18;18;10;10
"352730 LOUVEIRA";-;-;-;-;-;-;-;-;-;-;-;-;5;11;11;11;11;11;11;11;11;-;-
"352900 MARILIA";-;-;-;-;-;46;46;46;30;30;10;56;66;72;72;72;72;72;72;70;70;70;70
"352930 MATAO";-;-;-;-;5;5;5;8;8;-;-;8;8;13;13;13;13;13;13;8;5;5;5
"352940 MAUA";-;-;-;-;-;-;16;16;-;-;-;10;40;40;10;40;40;30;30;30;30;30;30
"353010 MIRANDOPOLIS";-;-;-;-;-;-;-;-;-;-;-;10;10;10;18;18;10;10;10;-;-;-;-
"353050 MOCOCA";-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
"353060 MOGI DAS CRUZES";12;12;12;56;44;44;44;16;16;16;40;80;134;134;134;134;134;106;96;73;73;50;50
"353070 MOGI GUACU";10;10;10;10;-;-;-;5;5;5;-;25;25;27;27;27;27;27;27;22;12;12;12
"353080 MOGI MIRIM";-;-;-;-;10;10;10;-;-;-;-;14;14;14;14;14;14;14;14;14;14;14;14
"353130 MONTE ALTO";-;-;-;8;8;8;-;5;5;5;8;8;8;8;8;8;8;8;8;8;8;8;8
"353190 MORRO AGUDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;5;5;5
"353350 NOVO HORIZONTE";-;-;-;-;19;19;19;6;6;6;-;10;10;10;10;10;10;10;10;10;10;10;10
"353390 OLIMPIA";-;-;-;-;5;15;15;15;5;5;5;10;15;15;15;15;15;15;15;10;5;5;5
"353440 OSASCO";40;60;60;60;30;20;10;20;30;20;30;30;60;82;102;102;82;60;60;20;20;20;20
"353460 OSVALDO CRUZ";-;-;-;-;-;-;-;-;-;-;6;6;10;10;10;10;10;10;10;10;10;10;10
"353470 OURINHOS";-;-;-;-;-;10;10;10;-;10;10;15;15;15;15;15;15;15;15;15;15;10;10
"353550 PARAGUACU PAULISTA";-;-;-;-;-;5;5;5;5;-;5;10;10;10;10;10;10;10;10;5;5;5;5
"353620 PARIQUERA-ACU";-;-;-;-;5;10;10;5;5;5;5;10;10;10;10;10;10;10;10;10;10;10;10
"353650 PAULINIA";-;-;-;-;-;-;-;-;-;-;-;-;10;10;14;14;14;14;14;14;14;14;14
"353670 PEDERNEIRAS";-;-;-;8;8;8;-;-;-;-;-;5;8;8;8;8;8;8;8;4;4;4;4
"353710 PEDREIRA";-;-;-;-;-;-;-;-;-;-;-;15;15;15;15;15;15;15;15;15;15;15;15
"353730 PENAPOLIS";-;-;-;-;-;-;-;-;10;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"353780 PIEDADE";-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5;5;-;-
"353800 PINDAMONHANGABA";-;-;-;-;-;-;10;10;10;-;10;10;10;12;12;12;12;12;12;12;12;12;12
"353870 PIRACICABA";-;31;31;31;41;53;29;24;24;10;34;53;53;53;53;53;61;35;35;30;30;20;20
"353930 PIRASSUNUNGA";-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;8;8;8
"354070 PORTO FERREIRA";-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5;5;-;-
"354100 PRAIA GRANDE";-;20;20;20;20;-;-;-;15;15;15;30;30;30;60;60;60;30;30;20;20;20;20
"354130 PRESIDENTE EPITACIO";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10
"354140 PRESIDENTE PRUDENTE";-;-;-;-;-;20;20;20;20;20;20;50;60;60;60;60;60;50;50;40;40;20;20
"354150 PRESIDENTE VENCESLAU";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9;9;-;9;-;-
"354160 PROMISSAO";-;-;-;-;-;-;-;-;-;-;-;10;10;10;16;16;10;10;-;-;-;-;-
"354220 RANCHARIA";-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;10;10;5;5;5;5;5
"354260 REGISTRO";-;-;-;10;10;10;10;10;10;-;30;30;30;30;35;35;35;20;20;20;20;15;15
"354340 RIBEIRAO PRETO";-;74;74;98;124;124;55;48;43;43;47;98;122;143;141;141;141;114;114;102;102;100;100
"354390 RIO CLARO";-;-;-;-;-;-;-;-;-;-;10;18;18;18;18;18;18;18;18;18;18;5;5
"354400 RIO DAS PEDRAS";-;-;-;-;-;-;5;5;5;-;-;-;5;5;5;5;5;5;5;5;5;-;-
"354580 SANTA BARBARA D'OESTE";-;-;-;-;15;15;15;10;10;10;-;30;30;30;30;30;30;30;30;30;20;20;20
"354640 SANTA CRUZ DO RIO PARDO";-;-;-;5;5;5;-;-;5;5;5;-;5;5;5;5;5;5;-;-;-;-;-
"354660 SANTA FE DO SUL";-;-;-;-;-;-;-;-;5;5;5;10;10;10;10;10;10;10;10;10;10;5;10
"354780 SANTO ANDRE";-;20;20;20;52;52;32;42;62;52;72;132;145;145;145;145;145;142;142;40;40;30;30
"354850 SANTOS";-;82;86;86;68;-;-;-;20;20;29;151;161;161;164;164;164;149;149;57;47;32;32
"354870 SAO BERNARDO DO CAMPO";20;20;20;20;20;89;89;89;99;99;139;168;188;188;188;188;188;118;99;99;99;99;99
"354880 SAO CAETANO DO SUL";-;-;-;40;40;40;-;-;-;40;40;40;50;50;80;80;80;60;60;50;50;50;50
"354890 SAO CARLOS";-;-;-;-;-;18;18;24;24;24;-;40;40;44;44;44;44;44;44;20;20;10;10
"354910 SAO JOAO DA BOA VISTA";-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;5;5;5;5
"354940 SAO JOAQUIM DA BARRA";-;-;-;-;-;10;10;10;10;10;-;10;10;10;10;10;10;10;10;10;10;10;10
"354970 SAO JOSE DO RIO PARDO";-;-;-;-;-;-;5;5;5;-;5;5;5;5;10;10;10;5;5;5;5;5;5
"354980 SAO JOSE DO RIO PRETO";-;85;85;115;115;115;79;102;97;97;97;127;147;147;155;155;155;155;147;103;91;91;91
"354990 SAO JOSE DOS CAMPOS";-;6;6;16;16;16;-;-;26;16;16;16;16;16;16;16;16;16;6;6;6;6;6
"355010 SAO MANUEL";-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5;5
"355030 SAO PAULO";510;1025;1041;1100;801;489;344;361;610;549;564;1301;2109;2225;2323;2313;2262;1688;1444;983;924;780;780
"355040 SAO PEDRO";-;-;-;5;5;5;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;5;5
"355060 SAO ROQUE";-;-;-;-;10;10;10;5;5;5;-;-;-;-;10;17;17;10;10;10;-;-;-
"355070 SAO SEBASTIAO";-;-;-;-;22;22;22;-;-;-;-;-;20;20;20;20;20;20;10;10;10;-;-
"355100 SAO VICENTE";-;21;21;19;9;9;9;9;5;5;9;9;9;9;10;10;10;10;10;10;5;5;5
"355150 SERRANA";-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;-;-;-;-;-
"355170 SERTAOZINHO";-;-;-;-;7;7;7;-;8;8;-;5;10;10;10;10;10;10;17;7;7;7;7
"355210 SOCORRO";-;-;-;-;-;-;7;7;7;5;5;5;5;5;7;7;7;7;7;7;7;7;7
"355220 SOROCABA";-;10;10;30;40;40;40;-;-;-;10;35;100;110;123;123;123;105;105;90;40;40;40
"355240 SUMARE";-;24;24;24;24;-;-;-;-;-;-;10;10;16;16;16;16;10;10;10;10;10;10
"355250 SUZANO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9;9;9;-;-;-;-;-
