CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade Não SUS por Município e Ano/mês compet.
Leitos complementares: UTI adulto II COVID-19
Período:2020-2022
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov"
"260990 OURICURI";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"261000 PALMARES";5;15;30;10;10;10;30;30;30;10;10;10;-;10;10;10;10;10;10;10;20;20;10;10;30;30;30;-;-;-;-;-;-
"261070 PAULISTA";-;-;10;10;28;18;18;18;18;18;18;18;18;38;24;10;10;10;10;10;20;20;20;20;44;44;44;-;-;-;-;-;-
"261090 PESQUEIRA";-;-;-;-;-;-;-;-;-;-;-;-;13;13;13;13;13;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-
"261110 PETROLINA";-;5;10;20;25;25;30;50;35;35;35;35;55;48;40;30;30;30;30;30;40;40;40;40;100;100;100;20;20;20;20;-;-
"261160 RECIFE";498;505;562;446;338;396;417;465;433;327;328;400;353;194;93;101;101;117;137;162;202;240;237;237;622;602;602;-;-;-;-;-;-
"261220 SALGUEIRO";-;29;5;-;-;-;5;5;5;-;-;5;20;-;-;-;-;-;-;-;10;10;10;10;20;20;20;-;-;-;-;-;-
"261247 SANTA CRUZ DA BAIXA VERDE";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261360 SAO JOSE DO EGITO";-;4;4;4;4;4;4;4;4;4;4;4;4;5;6;6;6;6;6;6;6;6;6;6;6;6;6;-;-;-;-;-;-
"261370 SAO LOURENCO DA MATA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;15;15;15;15;15;15;15;15;15;15;15;15;-;-;-;-;-;-
"261390 SERRA TALHADA";5;-;10;-;-;35;35;45;35;5;5;15;55;5;5;5;5;5;5;5;55;15;35;55;95;95;95;-;-;-;-;-;-
"261410 SERTANIA";-;-;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;-;-;-;-;-;-;-
"261640 VITORIA DE SANTO ANTAO";-;-;-;10;10;10;-;-;-;-;-;-;-;10;-;-;-;-;-;10;20;20;20;20;30;30;30;-;-;-;-;-;-
"270030 ARAPIRACA";9;27;10;20;23;30;40;27;27;27;33;54;24;10;10;10;10;25;25;25;25;25;62;25;82;45;45;-;-;-;-;-;-
"270230 CORURIPE";15;-;-;-;15;15;15;15;15;15;15;15;10;-;-;-;-;-;-;-;-;-;-;-;15;15;15;-;-;-;-;-;-
"270290 GIRAU DO PONCIANO";-;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270430 MACEIO";93;16;41;56;48;68;68;92;151;102;92;121;67;28;28;28;28;38;38;38;38;53;112;112;225;77;77;-;-;-;-;-;-
"270450 MARAGOGI";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270630 PALMEIRA DOS INDIOS";-;-;6;6;6;6;6;6;6;6;6;4;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"270670 PENEDO";-;-;7;7;7;-;-;-;7;7;-;3;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"270730 PORTO CALVO";-;-;-;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;10;-;10;-;-;-;-;-;-
"270800 SANTANA DO IPANEMA";-;10;10;10;10;10;5;-;-;-;10;5;2;3;-;-;-;-;-;-;-;-;-;-;15;15;15;-;-;-;-;-;-
"270860 SAO MIGUEL DOS CAMPOS";-;-;3;3;10;10;10;10;10;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;20;-;-;-;-;-;-;-;-
"270930 UNIAO DOS PALMARES";-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-
"280030 ARACAJU";14;-;45;56;64;47;37;37;32;32;32;71;29;24;20;15;10;-;35;15;32;34;18;34;64;54;36;-;-;-;-;-;-
"280130 CAPELA";-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"280210 ESTANCIA";-;-;2;23;31;10;12;12;12;7;7;7;23;-;-;-;-;-;-;-;-;8;8;8;8;-;-;-;-;-;-;-;-
"280350 LAGARTO";10;-;10;20;30;-;-;10;17;-;-;-;17;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-
"290070 ALAGOINHAS";12;2;2;-;-;-;12;12;12;12;12;12;12;4;4;4;4;4;4;4;4;4;4;4;12;12;12;-;-;-;-;-;-
"290270 BARRA";-;-;-;-;1;1;1;1;1;1;1;11;11;11;1;1;1;1;1;1;1;1;1;1;11;11;11;10;10;-;-;-;-
"290320 BARREIRAS";5;-;14;25;40;40;40;15;15;15;40;15;20;10;10;10;10;10;20;10;25;25;25;25;40;25;20;-;-;-;-;-;-
"290390 BOM JESUS DA LAPA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;10;10;10;10;-;-;-;-;-
"290460 BRUMADO";-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"290490 CACHOEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"290520 CAETITE";-;-;-;-;-;-;-;-;-;-;-;-;10;10;-;20;20;20;20;20;20;20;20;20;30;30;30;-;-;-;-;-;-
"290570 CAMACARI";-;16;6;20;5;5;21;21;21;21;26;36;36;43;10;10;10;10;10;27;27;27;27;27;37;37;37;-;-;-;-;-;-
"290600 CAMPO FORMOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;10;10;10;10;-;-;-;-;-
"290710 CARINHANHA";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-
"290750 CATU";-;-;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"290910 CORIBE";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"291072 EUNAPOLIS";-;-;-;-;20;20;20;5;5;5;5;5;2;-;-;-;-;-;-;-;-;-;-;-;20;20;20;-;-;-;-;-;-
"291080 FEIRA DE SANTANA";10;10;-;20;38;68;68;60;40;30;38;30;25;15;13;13;13;23;51;51;61;61;61;61;66;66;56;-;-;-;-;-;-
"291170 GUANAMBI";4;4;4;9;4;4;4;4;4;4;4;4;10;10;-;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-
"291360 ILHEUS";14;18;33;22;25;45;36;6;12;12;31;27;38;26;26;26;26;26;46;46;56;56;56;56;87;87;87;60;20;20;20;20;20
"291400 IPIRA";-;-;-;-;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-
"291460 IRECE";5;-;-;-;10;10;10;5;5;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5;15;-;-;-;-;-;-;-;-
"291470 ITABERABA";-;-;20;20;20;20;20;5;5;5;20;5;-;-;-;-;-;-;-;-;-;-;-;-;20;20;20;-;-;-;-;-;-
"291480 ITABUNA";-;10;-;10;20;20;30;10;10;10;30;-;-;20;20;-;-;4;4;4;30;10;10;10;30;30;10;-;-;-;-;-;-
"291750 JACOBINA";-;10;10;10;10;10;10;10;10;10;10;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"291800 JEQUIE";2;10;10;-;1;11;11;1;1;1;1;1;1;1;1;1;1;1;1;1;20;20;20;20;30;30;30;-;-;-;-;-;-
"291840 JUAZEIRO";10;10;10;10;20;29;29;10;10;10;29;-;1;-;-;-;10;10;20;30;30;30;30;30;40;40;20;-;-;-;-;-;-
"291920 LAURO DE FREITAS";-;3;-;-;-;-;-;-;-;-;-;100;100;90;10;-;-;-;-;10;50;50;50;50;10;10;10;-;-;-;-;-;-
"291955 LUIS EDUARDO MAGALHAES";-;-;-;19;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"291992 MADRE DE DEUS";-;-;-;-;-;-;-;-;-;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"292400 PAULO AFONSO";-;4;4;4;4;14;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"292530 PORTO SEGURO";6;6;6;-;10;14;14;20;20;20;10;10;20;-;-;-;-;-;-;-;-;-;-;-;20;10;10;-;-;-;-;-;-
"292600 REMANSO";-;10;10;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-
"292660 RIBEIRA DO POMBAL";10;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-;-;-;-;-;-
"292740 SALVADOR";552;740;584;441;374;340;400;572;632;519;528;508;506;386;326;237;227;317;357;317;396;396;406;416;618;618;578;100;100;100;-;-;-
"292870 SANTO ANTONIO DE JESUS";-;5;5;-;-;-;5;5;5;5;5;5;10;10;-;-;-;-;-;-;10;10;10;10;10;10;10;-;-;-;-;-;-
"292990 SEABRA";5;5;5;5;5;5;5;-;-;-;5;5;15;8;-;-;-;-;-;-;-;-;-;-;20;20;20;-;-;-;-;-;-
"293010 SENHOR DO BONFIM";-;-;-;-;-;10;10;10;10;10;10;10;20;20;-;-;-;-;-;20;10;10;10;10;20;-;-;-;-;-;-;-;-
"293050 SERRINHA";10;10;10;10;10;-;-;10;10;10;10;-;-;10;10;10;-;-;-;5;5;5;5;5;20;20;20;-;-;-;-;-;-
"293135 TEIXEIRA DE FREITAS";10;10;15;15;15;20;20;5;5;5;20;5;5;5;5;5;5;5;5;5;5;5;5;5;20;20;20;-;-;-;-;-;-
"293290 VALENCA";-;-;-;-;-;-;10;10;-;-;10;-;-;-;10;-;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-;-
"293330 VITORIA DA CONQUISTA";10;30;30;-;30;40;40;70;40;20;50;20;30;-;-;-;-;-;30;30;31;31;31;31;70;70;70;40;-;-;-;-;-
"310120 AIURUOCA";-;-;5;5;-;2;2;7;7;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"310150 ALEM PARAIBA";-;-;-;-;5;5;5;5;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;5;5;5;-;-;-;-;-;-
"310160 ALFENAS";-;10;10;10;10;-;-;-;-;20;10;20;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"310170 ALMENARA";-;10;10;10;10;10;10;10;10;3;3;3;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-
"310340 ARACUAI";-;6;6;6;-;-;-;6;6;6;6;6;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-
"310350 ARAGUARI";-;10;10;10;20;20;10;-;10;-;20;20;-;-;-;-;-;-;-;-;-;-;-;-;20;20;20;-;-;-;-;-;-
"310400 ARAXA";50;50;50;50;-;10;10;10;10;10;10;10;10;3;3;-;-;-;-;-;-;-;-;-;10;10;10;10;-;-;-;-;-
"310420 ARCOS";-;-;-;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"310490 BAEPENDI";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-
"310560 BARBACENA";20;31;31;5;5;5;36;25;25;25;9;14;4;4;10;-;-;-;-;-;-;10;10;10;30;10;-;-;-;-;-;-;-
"310620 BELO HORIZONTE";-;621;292;403;443;279;162;148;167;245;255;61;170;116;156;147;137;171;212;183;118;95;129;99;169;169;50;-;-;-;-;-;-
"310670 BETIM";54;55;55;85;45;155;15;5;5;19;35;119;65;105;55;55;25;25;25;4;90;-;-;-;40;40;40;-;-;-;-;-;-
"310710 BOA ESPERANCA";-;-;-;-;10;10;10;10;5;5;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"310740 BOM DESPACHO";-;-;20;20;20;20;20;20;20;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"310860 BRASILIA DE MINAS";-;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;10;10;10;10;-;-;-;-;-;-
"310900 BRUMADINHO";7;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"311120 CAMPO BELO";-;10;10;10;10;-;-;-;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-
"311230 CAPELINHA";-;-;-;-;-;10;10;10;6;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"311330 CARANGOLA";-;6;6;-;-;-;-;6;6;6;6;6;4;4;4;4;4;4;4;4;4;4;4;4;16;-;-;-;-;-;-;-;-
"311340 CARATINGA";-;20;20;30;20;40;60;60;80;80;40;60;120;50;50;50;50;50;50;50;-;-;-;-;-;-;-;-;-;-;-;-;-
"311530 CATAGUASES";-;5;5;5;-;5;5;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-
"311800 CONGONHAS";-;-;10;10;10;-;-;-;10;10;-;10;10;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"311830 CONSELHEIRO LAFAIETE";-;-;27;27;17;-;-;-;-;27;13;13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"311860 CONTAGEM";17;82;25;63;42;42;39;28;10;10;41;41;20;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"311930 COROMANDEL";-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;-;-;-;-;-;-;-;-;-;5;5;5;-;-;-;-;-;-
"311940 CORONEL FABRICIANO";-;5;5;10;10;10;20;20;20;10;10;10;20;10;-;-;-;-;-;-;-;-;20;20;-;-;-;-;-;-;-;-;-
"312090 CURVELO";-;-;20;20;-;-;-;-;5;5;10;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"312160 DIAMANTINA";-;-;10;10;-;10;10;20;20;20;20;20;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"312230 DIVINOPOLIS";-;35;55;45;45;45;45;55;55;55;55;45;40;40;40;40;40;40;40;40;40;40;40;40;50;50;50;-;-;-;-;-;-
"312510 EXTREMA";-;10;10;-;-;-;-;-;-;-;-;5;-;-;-;-;10;10;10;10;10;10;10;10;15;10;10;-;-;-;-;-;-
"312610 FORMIGA";-;-;-;12;-;-;-;5;5;10;10;5;11;11;11;11;11;11;11;1;1;1;1;1;11;-;-;-;-;-;-;-;-
"312770 GOVERNADOR VALADARES";-;16;30;30;-;-;-;18;22;58;-;-;-;-;-;-;-;-;-;-;10;10;18;18;-;-;-;-;-;-;-;-;-
"312800 GUANHAES";-;-;-;10;10;10;6;6;6;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"312870 GUAXUPE";-;-;-;-;10;10;10;10;10;9;9;-;-;-;-;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"312980 IBIRITE";-;-;15;20;12;12;12;12;12;20;20;20;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"313130 IPATINGA";17;17;30;33;48;45;32;32;32;25;25;40;25;35;25;25;25;25;25;25;5;5;15;5;30;-;-;-;-;-;-;-;-
"313170 ITABIRA";-;-;10;10;25;15;15;15;15;5;11;11;11;6;26;26;26;6;6;6;6;-;-;-;16;4;4;-;-;-;-;-;-
"313240 ITAJUBA";-;31;31;31;-;-;-;-;30;30;30;59;16;16;13;33;17;11;11;11;11;11;11;11;82;-;-;-;-;-;-;-;-
"313270 ITAMBACURI";-;-;-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"313310 ITANHANDU";-;-;5;5;5;5;5;5;5;5;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"313330 ITAOBIM";-;-;-;-;10;10;10;10;10;10;4;4;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"313380 ITAUNA";-;8;8;8;8;-;-;-;8;10;10;10;2;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"313420 ITUIUTABA";-;-;-;-;10;21;22;22;22;12;12;12;3;3;3;3;3;3;3;3;3;3;3;3;22;22;22;-;-;-;-;-;-
"313510 JANAUBA";-;4;4;5;5;5;5;-;-;-;-;-;15;10;-;-;-;-;-;-;-;-;-;-;30;30;30;-;-;-;-;-;-
"313520 JANUARIA";-;-;-;-;10;10;10;10;10;10;10;10;10;10;6;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-
"313620 JOAO MONLEVADE";-;-;15;15;15;-;-;-;-;-;-;-;25;15;15;15;15;15;15;15;15;-;-;-;-;-;-;-;-;-;-;-;-
"313630 JOAO PINHEIRO";-;-;-;-;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-
"313670 JUIZ DE FORA";-;-;58;28;16;16;44;60;60;36;57;42;64;51;41;49;33;23;23;23;36;36;72;77;154;139;139;26;5;-;-;-;-
"313720 LAGOA DA PRATA";-;-;7;-;-;-;-;-;7;10;10;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-
"313760 LAGOA SANTA";-;8;8;8;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;10;10;10;9;-;-;-;-;-;-;-;-;-
"313820 LAVRAS";-;6;16;18;17;15;15;17;12;19;21;6;6;6;6;6;6;12;12;12;12;12;12;12;32;32;32;-;-;-;-;-;-
"313840 LEOPOLDINA";-;5;5;10;5;-;2;2;17;17;17;17;2;2;2;2;2;2;2;2;2;2;2;2;20;20;20;-;-;-;-;-;-
"313940 MANHUACU";10;10;10;20;20;10;10;-;30;-;-;10;-;-;10;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-
"313950 MANHUMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;-;-;-;-;10;10;10;-;-;-;-;-;-
"313960 MANTENA";-;-;-;-;-;-;-;-;-;-;-;5;5;-;-;-;-;-;-;-;-;-;-;-;6;-;-;-;-;-;-;-;-
"314310 MONTE CARMELO";-;-;8;8;-;2;2;2;10;4;14;14;14;14;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"314330 MONTES CLAROS";-;74;74;14;14;14;20;25;48;49;49;53;9;29;-;-;-;10;10;10;19;39;85;90;-;-;-;-;-;-;-;-;-
"314390 MURIAE";-;-;10;5;5;12;12;12;12;12;12;5;5;-;-;-;-;-;-;-;-;-;-;-;17;17;17;-;-;-;-;-;-
"314430 NANUQUE";-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"314520 NOVA SERRANA";-;-;17;17;20;3;3;3;20;20;20;20;3;3;3;3;3;3;3;3;3;3;3;3;20;20;20;-;-;-;-;-;-
"314560 OLIVEIRA";-;-;6;6;6;-;-;-;6;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"314610 OURO PRETO";-;-;10;10;3;3;3;3;3;3;3;13;18;-;-;-;-;-;-;-;10;-;-;-;10;10;10;-;-;-;-;-;-
"314700 PARACATU";-;-;-;-;5;5;5;5;5;5;5;5;5;8;8;8;8;8;8;8;8;8;8;8;8;8;8;-;-;-;-;-;-
"314710 PARA DE MINAS";-;-;20;20;-;-;-;-;10;10;10;10;10;10;3;3;3;3;3;3;3;3;3;3;-;-;-;-;-;-;-;-;-
"314790 PASSOS";-;26;26;26;-;-;-;26;-;10;20;-;10;5;5;-;-;-;-;-;-;-;-;-;30;30;-;-;-;-;-;-;-
"314800 PATOS DE MINAS";-;-;-;-;-;-;9;19;19;19;19;30;20;30;30;30;30;30;30;30;30;30;4;-;6;6;6;-;-;-;-;-;-
"314810 PATROCINIO";-;-;14;-;-;-;5;14;14;18;14;24;15;5;5;5;5;5;5;5;5;5;5;5;33;33;33;-;-;-;-;-;-
"314860 PECANHA";-;6;-;-;-;-;-;-;6;6;7;10;4;-;-;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-
"314870 PEDRA AZUL";-;-;-;-;-;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"315120 PIRAPORA";-;5;5;5;-;6;6;6;11;11;11;11;10;-;5;-;-;-;-;-;5;5;5;5;16;1;1;-;-;-;-;-;-
"315170 POCO FUNDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-
"315180 POCOS DE CALDAS";-;28;40;12;12;12;12;28;28;20;30;34;32;22;10;10;10;10;10;10;10;10;10;10;60;60;60;-;-;-;-;-;-
"315210 PONTE NOVA";-;16;16;16;7;7;-;16;21;19;19;8;6;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-
"315220 PORTEIRINHA";-;5;5;5;5;-;-;5;5;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;5;5;-;-;-;-;-;-;-
"315250 POUSO ALEGRE";-;20;18;2;2;2;20;5;10;16;16;26;6;6;6;6;6;6;6;6;6;6;6;6;-;-;-;-;-;-;-;-;-
"315460 RIBEIRAO DAS NEVES";-;6;-;-;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"315580 RIO POMBA";-;-;-;-;-;-;-;-;-;-;10;10;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"315700 SALINAS";-;5;5;5;5;5;5;5;5;10;15;15;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"315780 SANTA LUZIA";-;-;10;10;10;10;-;-;-;2;2;6;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"315960 SANTA RITA DO SAPUCAI";-;6;6;6;-;-;2;2;4;4;4;4;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-
"316040 SANTO ANTONIO DO MONTE";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"316070 SANTOS DUMONT";-;-;10;10;10;-;10;10;10;10;10;12;12;2;2;2;2;2;2;2;2;2;2;2;12;-;-;-;-;-;-;-;-
"316210 SAO GOTARDO";-;-;-;-;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"316250 SAO JOAO DEL REI";-;20;20;36;16;16;18;13;18;49;25;8;6;6;14;8;8;8;8;8;8;8;8;8;58;20;20;-;-;-;-;-;-
"316370 SAO LOURENCO";-;12;12;12;3;3;3;3;15;14;14;6;5;3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"316470 SAO SEBASTIAO DO PARAISO";-;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-
"316720 SETE LAGOAS";-;15;11;11;30;35;35;46;25;44;50;50;50;50;50;50;50;20;4;4;4;4;4;4;14;14;14;-;-;-;-;-;-
"316800 TAIOBEIRAS";-;8;8;8;-;-;-;-;-;-;-;8;7;7;5;-;-;-;-;-;-;-;5;5;-;-;-;-;-;-;-;-;-
"316860 TEOFILO OTONI";-;10;7;17;-;10;25;25;19;9;9;9;5;-;-;-;4;-;-;-;-;-;-;-;17;17;17;-;-;-;-;-;-
"316870 TIMOTEO";-;-;-;-;-;10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;10;10;10;10;10;10;10;-;-;-;-;-;-
"316930 TRES CORACOES";-;9;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;20;20;-;-;-;-;-;-
"316940 TRES PONTAS";-;5;5;5;-;-;5;5;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"316970 TURMALINA";-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"316990 UBA";-;10;10;-;10;-;-;10;10;10;10;-;10;10;-;-;10;10;10;-;-;-;-;-;40;-;-;-;-;-;-;-;-
"317010 UBERABA";-;20;20;40;40;40;40;10;30;30;40;49;59;34;34;34;34;34;24;24;24;24;24;24;44;44;30;-;-;-;-;-;-
"317020 UBERLANDIA";2;22;2;2;2;10;10;30;30;22;22;51;10;2;2;2;12;12;12;12;22;22;42;32;62;22;22;-;-;-;-;-;-
"317040 UNAI";-;-;10;10;10;-;-;-;10;5;5;5;5;-;-;-;-;-;-;-;-;-;-;-;10;10;10;-;-;-;-;-;-
"317070 VARGINHA";-;8;16;8;8;8;16;8;9;8;11;8;20;20;30;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-
"317120 VESPASIANO";-;-;-;-;-;-;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"317130 VICOSA";-;-;13;10;-;-;-;10;10;10;10;10;7;7;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-
"317200 VISCONDE DO RIO BRANCO";-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;-;-;-;-;-;-;2;2;2;2;2;-;-;-;-;-;-
"320060 ARACRUZ";-;20;-;-;-;20;20;20;10;-;-;-;10;14;14;14;-;-;-;-;14;-;-;-;-;-;-;-;-;-;-;-;-
"320080 BAIXO GUANDU";-;-;6;-;-;-;-;-;-;-;-;-;12;12;12;12;12;12;12;12;-;-;-;-;-;-;-;-;-;-;-;-;-
"320120 CACHOEIRO DE ITAPEMIRIM";10;-;-;20;20;20;10;23;23;10;20;-;43;-;-;-;-;-;-;-;-;-;-;-;40;40;-;-;-;-;-;-;-
"320130 CARIACICA";-;-;9;9;-;-;-;9;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"320140 CASTELO";-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
