CNES - Recursos Físicos - Hospitalar - Leitos Complementares - Brasil
Quantidade existente por Município e Ano/mês compet.
Leitos complementares: UTI adulto II COVID-19
Período:2020-2022
"Município";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov"
"260960 OLINDA";-;24;24;24;24;24;24;24;24;24;24;24;34;34;80;80;80;80;80;80;80;70;110;110;110;110;110;-;-;-;-;-;-
"260990 OURICURI";-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"261000 PALMARES";5;15;30;30;30;30;30;30;30;30;30;30;20;30;30;30;30;40;40;40;40;40;30;30;30;30;30;-;-;-;-;-;-
"261070 PAULISTA";-;18;28;28;28;18;18;18;18;18;18;18;18;38;44;44;44;44;44;44;44;44;44;44;44;44;44;-;-;-;-;-;-
"261090 PESQUEIRA";-;-;-;-;-;-;-;-;-;-;-;-;13;13;13;13;13;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-
"261110 PETROLINA";-;10;15;25;25;25;30;50;60;60;60;60;80;100;100;100;100;100;100;100;100;100;100;100;100;100;100;20;20;20;20;-;-
"261160 RECIFE";498;635;817;827;577;562;572;554;574;584;585;649;706;728;728;726;726;726;696;626;626;626;623;623;622;602;602;-;-;-;-;-;-
"261220 SALGUEIRO";-;29;5;5;5;5;5;5;5;5;5;10;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"261247 SANTA CRUZ DA BAIXA VERDE";4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"261360 SAO JOSE DO EGITO";-;4;4;4;4;4;4;4;4;4;4;4;4;5;6;6;6;6;6;6;6;6;6;6;6;6;6;-;-;-;-;-;-
"261370 SAO LOURENCO DA MATA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;15;15;15;15;15;15;15;15;15;15;15;15;15;-;-;-;-;-;-
"261390 SERRA TALHADA";5;5;15;15;15;45;45;45;45;35;35;35;85;85;85;85;85;85;85;85;95;55;75;95;95;95;95;-;-;-;-;-;-
"261410 SERTANIA";-;-;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;16;-;-;-;-;-;-;-
"261640 VITORIA DE SANTO ANTAO";-;-;-;10;10;10;10;10;10;10;10;10;10;20;20;20;20;20;20;30;30;30;30;30;30;30;30;-;-;-;-;-;-
"270030 ARAPIRACA";9;27;27;37;40;40;40;40;40;40;40;61;71;82;82;82;82;82;82;82;82;82;82;45;82;45;45;-;-;-;-;-;-
"270230 CORURIPE";15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;15;-;-;-;-;-;-
"270290 GIRAU DO PONCIANO";-;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270430 MACEIO";93;126;156;166;161;171;171;151;151;147;147;206;240;240;240;240;240;225;225;225;225;240;225;225;225;77;77;-;-;-;-;-;-
"270450 MARAGOGI";-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"270630 PALMEIRA DOS INDIOS";-;-;6;6;6;6;6;6;6;6;6;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"270670 PENEDO";-;-;7;7;7;7;7;7;7;7;7;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"270730 PORTO CALVO";-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;10;-;-;-;-;-;-
"270800 SANTANA DO IPANEMA";-;10;10;10;10;10;10;10;10;10;10;10;12;15;15;15;15;15;15;15;15;15;15;15;15;15;15;-;-;-;-;-;-
"270860 SAO MIGUEL DOS CAMPOS";-;7;10;10;10;10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-;-;-
"270930 UNIAO DOS PALMARES";-;-;-;-;-;-;-;-;-;-;-;15;15;15;15;15;15;15;15;15;15;15;15;15;15;-;-;-;-;-;-;-;-
"280030 ARACAJU";14;34;79;90;88;88;90;90;80;80;80;113;113;113;117;117;117;107;107;82;62;64;48;64;64;54;36;-;-;-;-;-;-
"280130 CAPELA";-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"280210 ESTANCIA";-;-;12;33;41;41;41;41;41;41;41;41;59;59;59;59;59;18;18;18;8;8;8;8;8;-;-;-;-;-;-;-;-
"280350 LAGARTO";10;10;20;30;40;40;40;40;40;30;30;30;40;40;40;40;40;40;40;40;-;-;-;-;-;-;-;-;-;-;-;-;-
"290070 ALAGOINHAS";12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;12;-;-;-;-;-;-
"290270 BARRA";-;-;-;-;1;1;1;1;1;1;1;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;11;10;10;-;-;-;-
"290320 BARREIRAS";5;5;19;30;40;40;40;40;40;40;40;40;50;50;50;50;50;50;50;40;40;40;40;40;40;25;20;-;-;-;-;-;-
"290390 BOM JESUS DA LAPA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-
"290460 BRUMADO";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-
"290490 CACHOEIRA";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-
"290520 CAETITE";-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;30;30;30;30;30;30;30;30;30;30;30;30;-;-;-;-;-;-
"290570 CAMACARI";-;16;22;36;21;21;21;21;21;21;26;36;36;53;37;37;37;37;37;37;37;37;37;37;37;37;37;-;-;-;-;-;-
"290600 CAMPO FORMOSO";-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-
"290710 CARINHANHA";-;-;-;-;-;-;-;-;-;-;-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-
"290750 CATU";-;-;10;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"290910 CORIBE";-;-;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"291072 EUNAPOLIS";-;-;-;-;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"291080 FEIRA DE SANTANA";10;20;10;30;38;68;68;68;68;68;68;68;78;78;86;86;86;86;84;84;66;66;66;66;66;66;56;-;-;-;-;-;-
"291170 GUANAMBI";4;4;4;9;4;4;4;4;4;4;4;4;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-
"291360 ILHEUS";14;18;44;53;56;76;56;56;56;56;56;76;87;87;87;87;87;87;87;87;87;87;87;87;87;87;87;60;20;20;20;20;20
"291400 IPIRA";-;-;-;-;2;2;2;2;2;2;2;2;2;2;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-
"291460 IRECE";5;5;5;5;10;10;10;10;10;15;10;15;15;15;15;15;15;15;15;15;15;15;15;15;15;-;-;-;-;-;-;-;-
"291470 ITABERABA";-;-;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"291480 ITABUNA";-;10;10;20;30;30;30;30;30;30;30;30;30;50;50;50;50;50;50;50;50;30;30;30;30;30;10;-;-;-;-;-;-
"291750 JACOBINA";-;10;10;10;10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-;-;-;-
"291800 JEQUIE";2;10;10;10;20;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;-;-;-;-;-;-
"291840 JUAZEIRO";10;10;10;10;20;29;29;29;29;29;29;29;30;30;30;30;40;40;40;40;40;40;40;40;40;40;20;-;-;-;-;-;-
"291920 LAURO DE FREITAS";-;3;-;-;-;-;-;-;-;-;-;100;100;110;110;110;110;110;110;110;110;110;110;110;10;10;10;-;-;-;-;-;-
"291955 LUIS EDUARDO MAGALHAES";-;-;-;19;19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"291992 MADRE DE DEUS";-;-;-;-;-;-;-;-;-;2;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"292400 PAULO AFONSO";-;4;4;4;4;14;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"292530 PORTO SEGURO";6;6;6;6;16;20;20;20;20;20;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;10;10;-;-;-;-;-;-
"292600 REMANSO";-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-
"292660 RIBEIRA DO POMBAL";10;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;-;-;-;-;-;-
"292740 SALVADOR";552;790;663;768;808;810;748;721;741;775;775;825;925;955;905;866;836;836;726;666;666;666;676;686;618;618;578;100;100;100;-;-;-
"292870 SANTO ANTONIO DE JESUS";-;5;5;5;5;5;5;5;5;5;5;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"292990 SEABRA";5;5;5;5;5;5;5;5;5;5;5;10;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"293010 SENHOR DO BONFIM";-;-;-;-;-;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-;-;-
"293050 SERRINHA";10;10;10;10;10;10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"293135 TEIXEIRA DE FREITAS";10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"293290 VALENCA";-;-;-;-;-;-;10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-;-;-
"293330 VITORIA DA CONQUISTA";10;40;50;50;80;80;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;70;40;-;-;-;-;-
"310120 AIURUOCA";-;-;5;5;5;7;7;7;7;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"310150 ALEM PARAIBA";-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-
"310160 ALFENAS";-;10;10;10;20;20;20;20;20;20;20;20;40;40;30;30;30;30;30;30;30;30;30;30;-;-;-;-;-;-;-;-;-
"310170 ALMENARA";-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-
"310340 ARACUAI";-;6;6;6;6;6;6;6;6;6;6;6;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-
"310350 ARAGUARI";-;10;10;10;20;20;20;20;20;10;20;20;30;30;30;30;30;30;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"310400 ARAXA";50;50;50;50;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-
"310420 ARCOS";-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"310490 BAEPENDI";-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-
"310560 BARBACENA";20;31;31;36;36;36;36;25;25;25;25;30;30;30;40;40;40;40;40;40;40;40;30;30;30;10;-;-;-;-;-;-;-
"310620 BELO HORIZONTE";-;651;342;453;493;364;368;358;358;406;406;195;377;409;459;459;449;433;426;394;277;232;185;161;169;169;50;-;-;-;-;-;-
"310670 BETIM";54;55;55;85;105;155;115;105;105;119;135;129;165;185;185;185;155;155;155;134;130;40;40;40;40;40;40;-;-;-;-;-;-
"310710 BOA ESPERANCA";-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"310740 BOM DESPACHO";-;-;20;20;20;20;20;20;20;26;26;26;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-;-;-;-;-
"310860 BRASILIA DE MINAS";-;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;10;10;10;10;-;-;-;-;-;-
"310900 BRUMADINHO";7;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"311120 CAMPO BELO";-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-
"311230 CAPELINHA";-;-;-;-;-;10;10;10;6;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"311330 CARANGOLA";-;6;6;6;6;6;6;6;6;6;6;6;16;16;16;16;16;16;16;16;16;16;16;16;16;-;-;-;-;-;-;-;-
"311340 CARATINGA";-;20;20;50;40;60;60;60;80;80;80;100;120;120;120;120;120;120;120;120;70;70;70;70;-;-;-;-;-;-;-;-;-
"311530 CATAGUASES";-;5;5;5;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-
"311800 CONGONHAS";-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"311830 CONSELHEIRO LAFAIETE";-;-;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;27;17;17;17;17;-;-;-;-;-;-;-;-;-
"311860 CONTAGEM";17;82;25;63;73;73;70;80;70;70;80;80;90;98;90;90;90;90;50;50;50;50;40;40;10;10;10;-;-;-;-;-;-
"311930 COROMANDEL";-;-;-;-;-;-;-;-;-;-;-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-
"311940 CORONEL FABRICIANO";-;5;10;20;20;20;20;20;20;20;20;20;30;30;30;30;30;30;30;30;30;30;30;30;-;-;-;-;-;-;-;-;-
"312090 CURVELO";-;-;20;20;20;20;20;20;20;20;30;30;30;30;35;35;35;35;35;35;35;35;35;35;-;-;-;-;-;-;-;-;-
"312160 DIAMANTINA";-;-;10;10;10;20;20;20;20;20;20;20;30;30;30;30;30;30;30;30;30;30;30;30;-;-;-;-;-;-;-;-;-
"312230 DIVINOPOLIS";-;35;55;55;55;55;55;55;55;55;55;55;50;50;50;50;50;50;50;50;50;50;50;50;50;50;50;-;-;-;-;-;-
"312510 EXTREMA";-;10;10;10;10;10;10;10;5;5;5;5;5;5;5;5;15;15;15;15;15;15;15;15;15;10;10;-;-;-;-;-;-
"312610 FORMIGA";-;-;-;12;12;12;12;5;5;10;10;10;21;21;21;21;21;21;21;11;11;11;11;11;11;-;-;-;-;-;-;-;-
"312770 GOVERNADOR VALADARES";-;16;30;48;66;66;48;48;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;58;-;-;-;-;-;-;-;-;-
"312800 GUANHAES";-;-;-;10;10;10;6;6;6;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-
"312870 GUAXUPE";-;-;-;-;10;10;10;10;10;14;14;14;14;17;17;20;20;20;20;20;10;10;10;10;-;-;-;-;-;-;-;-;-
"312980 IBIRITE";-;-;15;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-;-;-;-;-;-;-
"313130 IPATINGA";17;17;30;50;70;70;70;70;70;70;70;70;70;80;80;80;80;80;80;80;60;60;60;50;30;-;-;-;-;-;-;-;-
"313170 ITABIRA";-;-;10;10;25;25;25;25;25;15;21;21;21;22;42;42;42;22;22;22;22;16;16;16;16;4;4;-;-;-;-;-;-
"313240 ITAJUBA";-;31;31;31;29;29;29;29;30;30;30;64;64;64;71;91;82;82;82;82;82;82;82;82;82;-;-;-;-;-;-;-;-
"313270 ITAMBACURI";-;-;-;-;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"313310 ITANHANDU";-;-;5;5;5;5;5;5;5;5;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-
"313330 ITAOBIM";-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"313380 ITAUNA";-;8;8;8;8;8;8;8;8;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-;-;-;-
"313420 ITUIUTABA";-;-;-;-;10;21;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;22;-;-;-;-;-;-
"313510 JANAUBA";-;4;4;5;5;5;5;5;5;5;5;5;20;30;30;30;30;30;30;30;30;30;30;30;30;30;30;-;-;-;-;-;-
"313520 JANUARIA";-;-;-;-;10;10;10;10;10;10;10;10;10;10;6;6;6;6;6;6;6;-;-;-;-;-;-;-;-;-;-;-;-
"313620 JOAO MONLEVADE";-;-;15;15;15;15;15;15;15;15;15;15;25;25;25;25;25;25;25;25;25;10;10;10;-;-;-;-;-;-;-;-;-
"313630 JOAO PINHEIRO";-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-
"313670 JUIZ DE FORA";-;-;68;64;63;63;73;87;87;73;86;86;145;162;162;170;162;170;170;170;170;170;157;162;154;139;139;26;5;-;-;-;-
"313720 LAGOA DA PRATA";-;-;7;7;7;7;7;7;7;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-
"313760 LAGOA SANTA";-;8;8;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;9;-;-;-;-;-;-;-;-;-
"313820 LAVRAS";-;6;16;18;24;24;24;24;24;24;26;26;26;26;26;26;26;32;32;32;32;32;32;32;32;32;32;-;-;-;-;-;-
"313840 LEOPOLDINA";-;5;5;10;15;15;17;17;17;19;19;19;19;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"313940 MANHUACU";10;10;10;20;30;30;30;20;30;30;30;30;40;40;40;30;30;30;30;30;30;30;30;30;30;-;-;-;-;-;-;-;-
"313950 MANHUMIRIM";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"313960 MANTENA";-;-;-;-;-;-;-;-;-;-;-;5;5;6;6;6;6;6;6;6;6;6;6;6;6;-;-;-;-;-;-;-;-
"314310 MONTE CARMELO";-;-;8;8;8;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;10;10;10;10;10;10;-;-;-;-;-;-
"314330 MONTES CLAROS";-;74;74;74;74;74;66;66;66;76;76;80;80;109;109;109;109;119;119;119;100;100;100;105;-;-;-;-;-;-;-;-;-
"314390 MURIAE";-;-;10;10;10;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;-;-;-;-;-;-
"314430 NANUQUE";-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"314520 NOVA SERRANA";-;-;17;17;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"314560 OLIVEIRA";-;-;6;6;6;6;6;6;6;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-
"314610 OURO PRETO";-;-;10;10;13;13;13;13;13;13;13;13;18;20;20;20;20;20;20;20;20;10;10;10;10;10;10;-;-;-;-;-;-
"314700 PARACATU";-;-;-;-;5;5;5;5;5;5;5;5;5;8;8;8;8;8;8;8;8;8;8;8;8;8;8;-;-;-;-;-;-
"314710 PARA DE MINAS";-;-;20;20;20;20;20;20;20;20;20;20;20;20;23;23;23;23;23;23;23;23;23;23;-;-;-;-;-;-;-;-;-
"314790 PASSOS";-;26;26;26;26;26;26;26;10;20;20;20;30;30;30;30;30;30;30;30;30;30;30;30;30;30;-;-;-;-;-;-;-
"314800 PATOS DE MINAS";-;10;10;10;10;10;19;19;19;19;19;30;30;40;40;40;40;40;40;40;40;40;10;6;6;6;6;-;-;-;-;-;-
"314810 PATROCINIO";-;-;14;14;14;14;14;14;14;18;18;28;33;33;33;33;33;33;33;33;33;33;33;33;33;33;33;-;-;-;-;-;-
"314860 PECANHA";-;6;-;-;-;-;-;-;6;6;7;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-
"314870 PEDRA AZUL";-;-;-;-;-;5;5;5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"315120 PIRAPORA";-;5;5;5;5;11;11;11;11;11;11;11;11;11;16;16;16;16;16;16;16;16;16;16;16;1;1;-;-;-;-;-;-
"315170 POCO FUNDO";-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-
"315180 POCOS DE CALDAS";-;28;40;40;40;40;40;40;40;40;50;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;60;-;-;-;-;-;-
"315210 PONTE NOVA";-;16;16;16;23;23;16;16;21;24;24;29;35;35;35;35;35;35;35;35;35;35;35;35;15;-;-;-;-;-;-;-;-
"315220 PORTEIRINHA";-;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-;-;-;-;-;-;-
"315250 POUSO ALEGRE";-;20;18;20;20;20;20;20;20;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;-;-;-;-;-;-;-;-;-
"315460 RIBEIRAO DAS NEVES";-;6;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"315580 RIO POMBA";-;-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"315700 SALINAS";-;5;5;5;5;5;5;5;5;10;15;15;15;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-;-
"315780 SANTA LUZIA";-;-;10;10;10;10;10;10;10;12;12;16;16;16;16;16;16;16;16;16;16;16;16;16;-;-;-;-;-;-;-;-;-
"315960 SANTA RITA DO SAPUCAI";-;6;6;6;6;6;8;8;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-
"316040 SANTO ANTONIO DO MONTE";-;-;-;-;-;-;-;-;-;-;-;-;10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"316070 SANTOS DUMONT";-;-;10;10;10;10;10;10;10;10;10;12;12;12;12;12;12;12;12;12;12;12;12;12;12;-;-;-;-;-;-;-;-
"316210 SAO GOTARDO";-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-
"316250 SAO JOAO DEL REI";-;20;20;36;36;36;38;33;33;49;48;48;48;48;56;58;58;58;58;58;58;58;58;58;58;20;20;-;-;-;-;-;-
"316370 SAO LOURENCO";-;12;12;12;15;15;15;15;15;20;20;20;25;25;25;25;25;25;25;25;25;25;25;25;-;-;-;-;-;-;-;-;-
"316470 SAO SEBASTIAO DO PARAISO";-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-
"316720 SETE LAGOAS";-;15;11;11;41;46;46;46;25;44;50;50;50;50;50;50;50;50;34;34;24;24;24;24;14;14;14;-;-;-;-;-;-
"316800 TAIOBEIRAS";-;8;8;8;8;8;8;8;8;8;8;8;15;15;15;15;15;15;15;15;15;15;15;15;-;-;-;-;-;-;-;-;-
"316860 TEOFILO OTONI";-;10;7;17;17;27;42;42;42;42;42;42;42;37;37;37;41;41;41;41;41;31;31;31;17;17;17;-;-;-;-;-;-
"316870 TIMOTEO";-;-;-;-;-;10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;10;10;10;10;10;10;10;-;-;-;-;-;-
"316930 TRES CORACOES";-;9;10;10;10;10;10;10;10;10;10;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;20;-;-;-;-;-;-
"316940 TRES PONTAS";-;5;5;5;5;5;10;10;10;10;10;10;10;10;10;15;14;14;14;10;10;10;10;10;-;-;-;-;-;-;-;-;-
"316970 TURMALINA";-;-;-;-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-
"316990 UBA";-;10;10;10;20;20;20;20;20;20;20;20;30;30;30;30;40;40;40;40;40;40;40;40;40;-;-;-;-;-;-;-;-
"317010 UBERABA";-;20;20;60;60;60;60;30;30;30;40;74;84;84;84;84;84;84;74;74;74;74;74;74;44;44;30;-;-;-;-;-;-
"317020 UBERLANDIA";2;22;22;22;50;58;58;58;58;58;58;107;134;134;134;134;134;134;134;134;134;134;72;62;62;22;22;-;-;-;-;-;-
"317040 UNAI";-;-;10;10;10;10;10;10;10;10;10;10;15;15;15;15;15;15;15;15;15;15;15;15;10;10;10;-;-;-;-;-;-
"317070 VARGINHA";-;8;16;16;16;16;16;16;16;15;18;18;30;30;40;40;40;40;40;40;40;40;40;40;20;20;20;20;-;-;-;-;-
"317120 VESPASIANO";-;-;-;-;-;-;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;-;-;-;-;-;-;-;-;-
"317130 VICOSA";-;-;13;10;10;21;15;15;10;10;10;10;17;17;17;17;17;17;17;17;17;17;17;10;10;-;-;-;-;-;-;-;-
"317200 VISCONDE DO RIO BRANCO";-;-;-;-;-;-;-;-;-;-;-;-;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;-;-;-;-;-;-
"320060 ARACRUZ";-;20;20;20;20;20;20;20;10;10;10;10;10;14;14;14;14;14;14;14;14;-;-;-;-;-;-;-;-;-;-;-;-
"320080 BAIXO GUANDU";-;-;6;-;-;-;-;-;-;-;-;-;12;12;12;12;12;12;12;12;-;-;-;-;-;-;-;-;-;-;-;-;-
"320120 CACHOEIRO DE ITAPEMIRIM";10;10;10;30;33;33;33;33;33;30;40;40;73;73;73;73;73;73;73;73;40;40;40;40;40;40;-;-;-;-;-;-;-
"320130 CARIACICA";-;-;9;9;9;9;9;9;9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
